Country,Population,fatality_rate,fatality_score,score_terrorism,score_security,score_governance,score_pol_sanctions_international,group_1_label,group_2_label,group_3_label,group_4_label,score_violence_events,score_political
Falkland Islands,3483.0,0.0,0.0,,0.0,,,,,,,0,
France,310779.0,3.21772063105937,70.0,27.12,48.56,38.228514000000004,,,,,,20,
Gabon,2457715.0,0.04068820021849563,30.0,0.0,15.0,38.8352798,,,,,,0,
United Kingdom,68442882.0,0.004383216942851705,10.0,26.389999999999997,18.195,29.7035331,3.75,No,No,No,No,0,25.863383275
Georgia,3807145.0,0.0,0.0,0.0,0.0,44.572514500000004,,,,,,0,
Ghana,33467371.0,0.7858400350598199,50.0,0.0,25.0,33.90984300000001,,,,,,20,
Guinea,14229395.0,0.25299740431690876,40.0,0.0,20.0,51.832254400000004,30.0,No,No,Yes,No,5,28.208063600000003
Gambia,2666786.0,0.0,0.0,0.0,0.0,,,,,,,0,
Guinea Bissau,2129290.0,0.04696401147800441,30.0,0.0,15.0,44.669543100000006,42.5,Indecisive,No,Yes,No,0,27.042385775
Equatorial Guinea,1825480.0,,,0.0,0.0,36.5130448,,,,,,0,
Greece,10349296.0,0.057974957910180556,40.0,29.28,34.64,31.72408320000001,,,,,,5,
Greenland,55962.0,0.0,0.0,,0.0,12.915562000000008,,,,,,0,
Guatemala,17984483.0,2.830217582568262,70.0,0.0,35.0,37.6887611,15.0,No,No,Indecisive,No,40,29.672190275
Guyana,824074.0,1.2134832551445622,60.0,0.0,30.0,30.407469300000002,,,,,,0,
Honduras,10554310.0,5.31536405506376,80.0,0.0,40.0,43.793578200000006,,,,,,40,
Croatia,3902712.0,0.0,0.0,0.0,0.0,24.1742122,,,,,,0,
Haiti,11569602.0,24.011197619416812,100.0,0.0,50.0,54.6258118,30.0,No,No,Yes,No,40,35.15645295
Hungary,9683205.0,0.010327159241180993,30.0,0.0,15.0,26.652412499999997,,,,,,5,
Indonesia,280026489.0,0.09141992277737697,40.0,41.7,40.85,44.5104793,12.5,Indecisive,No,No,No,40,32.752619825
India,1431702948.0,0.08109224065102645,40.0,64.1,52.05,47.5276877,12.5,Indecisive,No,No,No,75,43.506921925
Ireland,5165835.0,0.0,0.0,2.33,1.165,21.978184600000006,,,,,,0,
Iran,90102637.0,1.421711997174955,60.0,60.56,60.28,,83.75,Indecisive,Yes,Yes,Yes,85,
Iraq,44590195.0,1.2872785149291228,60.0,65.82,62.91,69.3667478,65.0,Indecisive,Indecisive,Yes,Indecisive,60,55.591686949999996
Iceland,384375.0,0.0,0.0,1.23,0.615,13.511971200000005,,,,,,0,
Israel,9190811.0,0.5440216320409592,50.0,74.63,62.315,51.8277927,,,,,,40,
